City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,294.14,72,48,"{'speed': 2.51, 'deg': 185, 'gust': 2.59}",PN,1730231866
1,ribeira grande,38.5167,-28.7,293.58,77,20,"{'speed': 7.6, 'deg': 157, 'gust': 9.83}",PT,1730231546
2,ambon,-3.6954,128.1814,300.3,95,40,"{'speed': 3.09, 'deg': 20}",ID,1730231869
3,puerto ayora,-0.7393,-90.3518,293.46,96,65,"{'speed': 4.47, 'deg': 220, 'gust': 5.81}",EC,1730231870
4,luderitz,-26.6481,15.1594,290.75,70,0,"{'speed': 8.52, 'deg': 165, 'gust': 12.2}",NA,1730231872
5,puerto baquerizo moreno,-0.9,-89.6,297.7,73,75,"{'speed': 6.69, 'deg': 160}",EC,1730231875
6,georgetown,5.4112,100.3354,300.11,87,20,"{'speed': 3.6, 'deg': 280}",MY,1730231681
7,sumbe,-11.2061,13.8437,297.68,78,59,"{'speed': 3.51, 'deg': 206, 'gust': 4.03}",AO,1730231878
8,bethel,41.3712,-73.414,287.35,73,100,"{'speed': 4.12, 'deg': 130}",US,1730231879
9,ilulissat,69.2167,-51.1,253.37,66,19,"{'speed': 3.25, 'deg': 98, 'gust': 3.32}",GL,1730231881
10,edinburgh of the seven seas,-37.0676,-12.3116,287.13,79,1,"{'speed': 8.34, 'deg': 294, 'gust': 10.88}",SH,1730231882
11,gadzhiyevo,69.2551,33.3362,272.98,69,69,"{'speed': 7.56, 'deg': 203, 'gust': 11.82}",RU,1730231884
12,kodiak,57.79,-152.4072,277.88,56,0,"{'speed': 16.46, 'deg': 290, 'gust': 23.66}",US,1730231886
13,qaqortoq,60.7167,-46.0333,272.05,71,80,"{'speed': 4.31, 'deg': 278, 'gust': 5.14}",GL,1730231836
14,port-aux-francais,-49.35,70.2167,274.24,63,91,"{'speed': 5.67, 'deg': 159, 'gust': 5.73}",TF,1730231822
15,zapolyarnyy,69.4154,30.8136,271.62,65,57,"{'speed': 6.46, 'deg': 195, 'gust': 13.34}",RU,1730231892
16,grytviken,-54.2811,-36.5092,273.89,77,89,"{'speed': 3.55, 'deg': 232, 'gust': 4.06}",GS,1730231824
17,puerto natales,-51.7236,-72.4875,280.4,93,100,"{'speed': 4.12, 'deg': 160}",CL,1730231821
18,port mathurin,-19.6833,63.4167,296.54,79,6,"{'speed': 3.61, 'deg': 141, 'gust': 3.91}",MU,1730231365
19,albany,42.6001,-73.9662,285.88,64,100,"{'speed': 1.34, 'deg': 208, 'gust': 3.13}",US,1730231898
20,constantia,44.1833,28.65,281.53,61,0,"{'speed': 4.1, 'deg': 25, 'gust': 4.4}",RO,1730231900
21,waitangi,-43.9535,-176.5597,285.47,91,100,"{'speed': 8.23, 'deg': 11, 'gust': 12.09}",NZ,1730231901
22,reggane,26.7158,0.1714,300.12,23,94,"{'speed': 2.91, 'deg': 306, 'gust': 3.14}",DZ,1730231903
23,coracao de maria,-12.2333,-38.75,302.19,46,9,"{'speed': 6.6, 'deg': 117, 'gust': 7.26}",BR,1730231904
24,codrington,-38.2667,141.9667,281.98,91,68,"{'speed': 2.53, 'deg': 299, 'gust': 3.11}",AU,1730231906
25,guerrero negro,27.9769,-114.0611,293.67,54,0,"{'speed': 8.67, 'deg': 316, 'gust': 9.48}",MX,1730231907
26,chonchi,-42.6128,-73.8092,292.87,49,100,"{'speed': 2.77, 'deg': 182, 'gust': 4.46}",CL,1730231909
27,rongelap,11.1635,166.8941,301.8,78,48,"{'speed': 5.92, 'deg': 82, 'gust': 6.54}",MH,1730231910
28,afaahiti,-17.75,-149.2833,296.28,64,33,"{'speed': 6.35, 'deg': 131, 'gust': 6.05}",PF,1730231912
29,asau,46.4333,26.4,283.72,87,97,"{'speed': 0.84, 'deg': 233, 'gust': 0.74}",RO,1730231914
30,yellowknife,62.456,-114.3525,265.6,96,40,"{'speed': 3.09, 'deg': 320}",CA,1730231915
31,porto novo,6.4965,2.6036,300.05,85,11,"{'speed': 2, 'deg': 190, 'gust': 3.31}",BJ,1730231917
32,cockburn town,21.4612,-71.1419,301.36,74,98,"{'speed': 9.38, 'deg': 59, 'gust': 9.61}",TC,1730231918
33,cutral-co,-38.9469,-69.2089,305.32,10,46,"{'speed': 2.68, 'deg': 23, 'gust': 6.71}",AR,1730231920
34,touros,-5.1989,-35.4608,299.06,70,92,"{'speed': 7.04, 'deg': 124, 'gust': 10.07}",BR,1730231921
35,crane,31.3974,-102.3501,301.99,31,1,"{'speed': 11.4, 'deg': 165, 'gust': 11.71}",US,1730231827
36,bredasdorp,-34.5322,20.0403,287.49,87,0,"{'speed': 0.96, 'deg': 209, 'gust': 1.12}",ZA,1730231924
37,nar'yan-mar,67.6713,53.087,273.77,91,100,"{'speed': 5.76, 'deg': 201, 'gust': 10.21}",RU,1730231926
38,siracusa,37.0881,15.2792,292.65,76,0,"{'speed': 1.77, 'deg': 238, 'gust': 1.72}",IT,1730231928
39,howard springs,-12.497,131.047,300.83,92,100,"{'speed': 2.45, 'deg': 93, 'gust': 7.71}",AU,1730231929
40,thompson,55.7435,-97.8558,275.24,69,75,"{'speed': 5.14, 'deg': 270}",CA,1730231931
41,yuanlin,30.4151,112.8859,289.0,66,1,"{'speed': 2.66, 'deg': 63, 'gust': 3.12}",CN,1730231932
42,la ronge,55.1001,-105.2842,273.27,69,100,"{'speed': 5.14, 'deg': 310}",CA,1730231748
43,whangarei,-35.7317,174.3239,283.72,96,99,"{'speed': 1.95, 'deg': 303, 'gust': 8.11}",NZ,1730231935
44,malpica,43.3228,-8.8105,288.91,96,0,"{'speed': 7.44, 'deg': 53, 'gust': 13.26}",ES,1730231938
45,iskateley,67.6803,53.1512,273.76,91,100,"{'speed': 5.75, 'deg': 200, 'gust': 10.25}",RU,1730231940
46,weno,7.4515,151.8468,302.12,79,100,"{'speed': 3.09, 'deg': 20}",FM,1730231362
47,hermanus,-34.4187,19.2345,289.71,85,0,"{'speed': 2.99, 'deg': 99, 'gust': 3.87}",ZA,1730231943
48,peddapalli,18.6167,79.3667,297.47,80,55,"{'speed': 0.91, 'deg': 20, 'gust': 0.91}",IN,1730231945
49,blackmans bay,-43.0167,147.3167,284.22,80,100,"{'speed': 0.45, 'deg': 0, 'gust': 0.89}",AU,1730231946
50,tolanaro,-25.0319,46.9987,298.19,83,40,"{'speed': 12.35, 'deg': 60, 'gust': 21.09}",MG,1730231948
51,mahina,-17.5065,-149.489,301.02,57,0,"{'speed': 2.57, 'deg': 330}",PF,1730231954
52,belmonte,-15.8631,-38.8828,299.47,71,4,"{'speed': 3.12, 'deg': 55, 'gust': 5.04}",BR,1730231956
53,cidreira,-30.1811,-50.2056,294.84,86,32,"{'speed': 6.32, 'deg': 72, 'gust': 9.13}",BR,1730231716
54,saipan,15.1355,145.701,301.54,83,75,"{'speed': 6.17, 'deg': 50}",MP,1730231596
55,papatowai,-46.5619,169.4708,283.89,73,100,"{'speed': 6.98, 'deg': 279, 'gust': 12.54}",NZ,1730231960
56,santa ana de yacuma,-13.75,-65.4333,306.12,55,75,"{'speed': 4.12, 'deg': 270}",BO,1730231962
57,zouerate,22.7187,-12.4521,296.66,33,100,"{'speed': 3.93, 'deg': 42, 'gust': 6.21}",MR,1730231964
58,atafu village,-8.5421,-172.5159,300.92,78,20,"{'speed': 5.92, 'deg': 324, 'gust': 6.08}",TK,1730231965
59,onguday,50.75,86.15,271.81,70,100,"{'speed': 1.55, 'deg': 229, 'gust': 1.75}",RU,1730231967
60,west island,-12.1568,96.8225,299.14,89,75,"{'speed': 4.63, 'deg': 120}",CC,1730231968
61,tandalti,13.0167,31.8667,304.42,22,60,"{'speed': 3.06, 'deg': 283, 'gust': 3.99}",SD,1730231970
62,remire-montjoly,4.9167,-52.2667,305.17,62,20,"{'speed': 4.12, 'deg': 20}",GF,1730231973
63,haiku-pauwela,20.9219,-156.3051,299.38,79,20,"{'speed': 13.41, 'deg': 78, 'gust': 16.09}",US,1730231975
64,sao joao da barra,-21.6403,-41.0511,295.2,91,100,"{'speed': 5.99, 'deg': 135, 'gust': 7.29}",BR,1730231977
65,braga,41.5503,-8.4201,289.54,72,88,"{'speed': 2.13, 'deg': 57, 'gust': 4.19}",PT,1730231978
66,katsuura,35.1333,140.3,288.88,98,100,"{'speed': 9.6, 'deg': 337, 'gust': 11.59}",JP,1730231980
67,koumra,8.9126,17.5539,299.11,45,6,"{'speed': 1.07, 'deg': 167, 'gust': 1.08}",TD,1730231981
68,thief river falls,48.1191,-96.1812,285.11,62,40,"{'speed': 5.66, 'deg': 50}",US,1730231983
69,merizo village,13.2658,144.6691,299.81,93,21,"{'speed': 4.14, 'deg': 68, 'gust': 5.21}",GU,1730231985
70,punta arenas,-53.15,-70.9167,283.21,62,40,"{'speed': 13.38, 'deg': 290}",CL,1730231590
71,hamilton,39.1834,-84.5333,299.96,55,100,"{'speed': 2.24, 'deg': 223, 'gust': 7.15}",US,1730231988
72,cadale,2.7603,46.3222,298.96,80,2,"{'speed': 4.03, 'deg': 131, 'gust': 4.99}",SO,1730231989
73,ust-nera,64.5667,143.2,253.05,100,97,"{'speed': 1.11, 'deg': 28, 'gust': 1.31}",RU,1730231991
74,kapuskasing,49.4169,-82.4331,281.2,100,100,"{'speed': 4.12, 'deg': 160}",CA,1730231993
75,port saint john's,-31.6229,29.5448,293.56,61,99,"{'speed': 7.61, 'deg': 256, 'gust': 15.44}",ZA,1730231994
76,gudlavalleru,16.3476,81.0534,298.45,85,34,"{'speed': 0.95, 'deg': 180, 'gust': 1.01}",IN,1730231996
77,dubti,11.7361,41.0853,303.12,42,1,"{'speed': 5.7, 'deg': 137, 'gust': 7.61}",ET,1730231997
78,longyearbyen,78.2186,15.6401,270.06,93,75,"{'speed': 3.6, 'deg': 110}",SJ,1730231722
79,badger,64.8,-147.5333,267.58,86,100,"{'speed': 2.15, 'deg': 325, 'gust': 4.44}",US,1730232000
80,kiunga,-6.1219,141.2906,296.36,99,99,"{'speed': 0.6, 'deg': 232, 'gust': 0.91}",PG,1730232002
81,olonkinbyen,70.9221,-8.7187,268.16,57,91,"{'speed': 6.87, 'deg': 328, 'gust': 7.73}",SJ,1730232004
82,port elizabeth,-33.918,25.5701,289.44,92,20,"{'speed': 12.35, 'deg': 250}",ZA,1730232005
83,iqaluit,63.7506,-68.5145,269.0,80,75,"{'speed': 5.14, 'deg': 110}",CA,1730232007
84,vorgashor,67.5833,63.95,270.81,97,100,"{'speed': 4.13, 'deg': 185, 'gust': 7.87}",RU,1730232008
85,bilibino,68.0546,166.4372,249.55,99,16,"{'speed': 2.05, 'deg': 50, 'gust': 1.76}",RU,1730232010
86,zaozersk,69.4005,32.4476,272.67,67,96,"{'speed': 7.36, 'deg': 210, 'gust': 13.51}",RU,1730231628
87,peniche,39.3558,-9.3811,292.35,83,63,"{'speed': 2.2, 'deg': 27, 'gust': 2.23}",PT,1730232013
88,cole harbour,44.6724,-63.4751,281.88,42,20,"{'speed': 6.17, 'deg': 360}",CA,1730232015
89,mendi,-6.1761,143.6513,285.9,98,100,"{'speed': 1.53, 'deg': 5, 'gust': 1.63}",PG,1730232016
90,smidovich,48.6,133.8167,274.71,76,70,"{'speed': 1.1, 'deg': 256, 'gust': 1.1}",RU,1730232018
91,matoury,4.8483,-52.3317,305.13,62,20,"{'speed': 4.12, 'deg': 20}",GF,1730232019
92,argostolion,38.1811,20.489,293.56,34,20,"{'speed': 2.57, 'deg': 359, 'gust': 2.28}",GR,1730232021
93,keflavik,64.0049,-22.5624,279.39,81,75,"{'speed': 11.32, 'deg': 230}",IS,1730231500
94,nagqu,31.5,92.0,274.45,26,100,"{'speed': 1.1, 'deg': 2, 'gust': 1.02}",CN,1730231634
95,tazovsky,67.4667,78.7,267.94,94,100,"{'speed': 1.85, 'deg': 154, 'gust': 2.19}",RU,1730231476
96,ola,59.5833,151.2833,265.25,65,100,"{'speed': 5.3, 'deg': 8, 'gust': 7.65}",RU,1730232027
97,puerto deseado,-47.7503,-65.8938,293.56,41,43,"{'speed': 5.14, 'deg': 228, 'gust': 7.93}",AR,1730232029
98,mao,39.8885,4.2658,294.46,88,75,"{'speed': 8.23, 'deg': 80}",ES,1730232031
99,aykhal,66.0,111.5,250.31,100,100,"{'speed': 2.89, 'deg': 202, 'gust': 2.71}",RU,1730232032
100,la passe,45.5549,-0.8967,288.5,89,1,"{'speed': 3.65, 'deg': 48, 'gust': 6.13}",FR,1730232034
101,fortuna,40.5982,-124.1573,286.68,70,0,"{'speed': 3.09, 'deg': 300}",US,1730232035
102,jintur,19.6167,76.7,295.61,63,2,"{'speed': 2.08, 'deg': 24, 'gust': 2.15}",IN,1730232037
103,flying fish cove,-10.4217,105.6791,297.97,88,75,"{'speed': 4.12, 'deg': 140}",CX,1730231687
104,queenstown,-31.8976,26.8753,283.65,75,72,"{'speed': 6.72, 'deg': 241, 'gust': 10.67}",ZA,1730232040
105,alotau,-10.3069,150.4462,297.45,95,100,"{'speed': 1.03, 'deg': 188, 'gust': 1.12}",PG,1730232042
106,sibiti,-3.6819,13.3499,294.71,94,64,"{'speed': 0.69, 'deg': 341, 'gust': 0.7}",CG,1730232043
107,taro,-8.3862,115.28,292.8,100,88,"{'speed': 0.5, 'deg': 164, 'gust': 2.33}",ID,1730231708
108,magomeni,-6.8,39.25,299.24,87,0,"{'speed': 2.83, 'deg': 82, 'gust': 4.87}",TZ,1730232046
109,ushuaia,-54.8,-68.3,279.96,65,75,"{'speed': 14.4, 'deg': 230}",AR,1730232048
